trial,universe,n_assets,T_in,iter,es95,l1_step,note
58,sp500,16,712,5,-0.022219015930175782,0.1278076171875,
58,sp500,16,712,6,-0.022346793300083708,0.1123046875,
58,sp500,16,712,7,-0.022437884748186383,0.0931396484375,
58,sp500,16,712,8,-0.022537125810895644,0.0751953125,
59,sp500,22,474,0,-0.023979703212375636,nan,
59,sp500,22,474,1,-0.0227642143031529,0.23473186157091608,
59,sp500,22,474,2,-0.021630020281110492,0.2420654296875,
59,sp500,22,474,3,-0.020389302403041296,0.234375,
59,sp500,22,474,4,-0.01903590233503069,0.20947265625,
59,sp500,22,474,-1,,,ValueError: all target probabilities must be positive
60,sp500,33,295,0,-0.029299132515461918,nan,
60,sp500,33,295,1,-0.028215961164202007,0.2830201849596529,
60,sp500,33,295,2,-0.02780777015032087,0.23681640625,
60,sp500,33,295,3,-0.028021717468261716,0.2109375,
60,sp500,33,295,-1,,,ValueError: all target probabilities must be positive
61,sp500,16,403,0,-0.03880769555881482,nan,
61,sp500,16,403,1,-0.03890644262695312,0.16161863314880157,
61,sp500,16,403,2,-0.03918460952322824,0.1773681640625,
61,sp500,16,403,3,-0.03961615141950335,0.1845703125,
61,sp500,16,403,4,-0.040226950360979355,0.184326171875,
61,sp500,16,403,5,-0.04096116520472935,0.168212890625,
61,sp500,16,403,6,-0.04179746716308593,0.1385498046875,
61,sp500,16,403,-1,,,ValueError: all target probabilities must be positive
62,reit,20,370,0,-0.023022290688407672,nan,
62,reit,20,370,1,-0.02039379394785436,0.4831932950497945,
62,reit,20,370,2,-0.019584139291401705,0.4796142578125,
62,reit,20,370,-1,,,ValueError: all target probabilities must be positive
63,sp500,28,548,0,-0.01884974703076369,nan,
63,sp500,28,548,1,-0.0157098427734375,0.39426536715589205,
63,sp500,28,548,2,-0.015579795288085937,0.30126953125,
63,sp500,28,548,3,-0.01674196283830915,0.202880859375,
63,sp500,28,548,-1,,,ValueError: all target probabilities must be positive
64,reit,12,366,0,-0.01085451500828219,nan,
64,reit,12,366,1,-0.010841992066310603,0.19101869692329423,
64,reit,12,366,2,-0.010967597085886798,0.2091064453125,
64,reit,12,366,3,-0.011116739463984799,0.208984375,
64,reit,12,366,4,-0.011430859045853305,0.1961669921875,
64,reit,12,366,5,-0.012093639380527781,0.169921875,
64,reit,12,366,-1,,,ValueError: all target probabilities must be positive
65,reit,18,732,0,-0.03413360536265042,nan,
65,reit,18,732,1,-0.033519497890307,0.2446470272070127,
65,reit,18,732,2,-0.03264337810809607,0.2943115234375,
65,reit,18,732,3,-0.03285498937240563,0.33544921875,
65,reit,18,732,4,-0.03342930745394773,0.314208984375,
65,reit,18,732,-1,,,ValueError: all target probabilities must be positive
66,sp500,22,741,0,-0.017238079040400756,nan,
66,sp500,22,741,1,-0.018050481462751115,0.1834384158739622,
66,sp500,22,741,2,-0.018993236729213166,0.2017822265625,
66,sp500,22,741,3,-0.02002988644845145,0.1937255859375,
66,sp500,22,741,4,-0.021125089503696987,0.17724609375,
66,sp500,22,741,-1,,,ValueError: all target probabilities must be positive
67,reit,13,744,0,-0.03172925074870972,nan,
67,reit,13,744,1,-0.031009817246993965,0.3086692255025335,
67,reit,13,744,2,-0.03066233529416896,0.2825927734375,
67,reit,13,744,3,-0.03084177284457878,0.2078857421875,
67,reit,13,744,4,-0.0312601187013783,0.160888671875,
67,reit,13,744,5,-0.03184291517685463,0.1424560546875,
67,reit,13,744,-1,,,ValueError: all target probabilities must be positive
68,sp500,15,704,0,-0.016763604434145547,nan,
68,sp500,15,704,1,-0.01601266925920759,0.25128507999363897,
68,sp500,15,704,2,-0.015789024658203126,0.2674560546875,
68,sp500,15,704,3,-0.016653796630859374,0.2342529296875,
68,sp500,15,704,4,-0.01749968731689453,0.1707763671875,
68,sp500,15,704,5,-0.01836373660714286,0.1427001953125,
68,sp500,15,704,-1,,,ValueError: all target probabilities must be positive
69,sp500,20,601,0,-0.01873568340365404,nan,
69,sp500,20,601,1,-0.01783945237513951,0.16774492748233844,
69,sp500,20,601,2,-0.017712965881347655,0.1495361328125,
69,sp500,20,601,3,-0.017666578308105467,0.129638671875,
69,sp500,20,601,4,-0.01772496396309989,0.12353515625,
69,sp500,20,601,5,-0.0179509201398577,0.1168212890625,
69,sp500,20,601,6,-0.01824837104143415,0.1119384765625,
69,sp500,20,601,-1,,,ValueError: all target probabilities must be positive
70,sp500,36,483,0,-0.012469774259336392,nan,
70,sp500,36,483,1,-0.011795416338239396,0.3434215362939824,
70,sp500,36,483,2,-0.011853363481794084,0.35400390625,
70,sp500,36,483,3,-0.01262251739501953,0.2998046875,
70,sp500,36,483,4,-0.013429086530412946,0.2203369140625,
70,sp500,36,483,-1,,,ValueError: all target probabilities must be positive
71,reit,12,575,0,-0.023420317854484896,nan,
71,reit,12,575,1,-0.021652898922642945,0.3145031666595038,
71,reit,12,575,2,-0.019826885163777935,0.3323974609375,
71,reit,12,575,3,-0.018264865043098325,0.28955078125,
71,reit,12,575,4,-0.0172439405540142,0.22021484375,
71,reit,12,575,-1,,,ValueError: all target probabilities must be positive
72,sp500,30,465,0,-0.013225913687877375,nan,
72,sp500,30,465,1,-0.012310849129813058,0.3134040553696383,
72,sp500,30,465,2,-0.012279945608956472,0.3275146484375,
72,sp500,30,465,3,-0.012629021876743862,0.2813720703125,
72,sp500,30,465,-1,,,ValueError: all target probabilities must be positive
73,reit,21,512,0,-0.02377446791638129,nan,
73,reit,21,512,1,-0.022017541352512604,0.41245643950866934,
73,reit,21,512,2,-0.021732849515717165,0.4681396484375,
73,reit,21,512,-1,,,ValueError: all target probabilities must be positive
74,reit,15,293,0,-0.023069536655866564,nan,
74,reit,15,293,1,-0.022661582144048044,0.3740198269642614,
74,reit,15,293,2,-0.024448937265191952,0.4346923828125,
74,reit,15,293,3,-0.026466783594235023,0.4156494140625,
74,reit,15,293,-1,,,ValueError: all target probabilities must be positive
75,reit,23,270,0,-0.022212367454714475,nan,
75,reit,23,270,1,-0.02024264362908398,0.6312615868505154,
75,reit,23,270,2,-0.021583879843294677,0.4534912109375,
75,reit,23,270,-1,,,ValueError: all target probabilities must be positive
76,sp500,25,293,0,-0.014075992996526673,nan,
76,sp500,25,293,1,-0.012960520132882253,0.3479134252673565,
76,sp500,25,293,2,-0.012245306100027902,0.3685302734375,
76,sp500,25,293,3,-0.01241786478969029,0.2633056640625,
76,sp500,25,293,-1,,,ValueError: all target probabilities must be positive
77,sp500,28,268,0,-0.015889814049143046,nan,
77,sp500,28,268,1,-0.015659042742047994,0.36225247755308243,
77,sp500,28,268,2,-0.01630462438964844,0.4091796875,
77,sp500,28,268,3,-0.017898432721819197,0.36767578125,
77,sp500,28,268,-1,,,ValueError: all target probabilities must be positive
78,sp500,18,510,0,-0.021643116079092646,nan,
78,sp500,18,510,1,-0.022074635646275115,0.18098918555932175,
78,sp500,18,510,2,-0.022448850873674663,0.218994140625,
78,sp500,18,510,3,-0.022649864100864954,0.211669921875,
78,sp500,18,510,4,-0.02266337118094308,0.159423828125,
78,sp500,18,510,-1,,,ValueError: all target probabilities must be positive
79,sp500,24,521,0,-0.010072397533145882,nan,
79,sp500,24,521,1,-0.009887253121512276,0.24117489445617205,
79,sp500,24,521,2,-0.010193361519949777,0.2803955078125,
79,sp500,24,521,3,-0.010923282671247208,0.2794189453125,
79,sp500,24,521,4,-0.011815849888392854,0.236328125,
79,sp500,24,521,-1,,,ValueError: all target probabilities must be positive
80,reit,16,620,0,-0.015593740110832513,nan,
80,reit,16,620,1,-0.014581752067593087,0.2859190111722152,
80,reit,16,620,2,-0.015016172149488253,0.4190673828125,
80,reit,16,620,3,-0.01924465120200097,0.3946533203125,
80,reit,16,620,4,-0.022501543632087166,0.2843017578125,
80,reit,16,620,-1,,,ValueError: all target probabilities must be positive
81,reit,24,691,0,-0.02920827624702566,nan,
81,reit,24,691,1,-0.027830241359058098,0.4124192501333822,
81,reit,24,691,2,-0.026848241759737542,0.419189453125,
81,reit,24,691,3,-0.026666720843309778,0.3270263671875,
81,reit,24,691,-1,,,ValueError: all target probabilities must be positive
82,reit,21,554,0,-0.023242909615864133,nan,
82,reit,21,554,1,-0.0221396979628521,0.3536272845228986,
82,reit,21,554,2,-0.020843579207726115,0.4183349609375,
82,reit,21,554,3,-0.020110392258783173,0.34912109375,
82,reit,21,554,-1,,,ValueError: all target probabilities must be positive
83,sp500,17,252,0,-0.013533457878522557,nan,
83,sp500,17,252,1,-0.012817950177873882,0.15263248794751877,
83,sp500,17,252,2,-0.012441428013392857,0.15771484375,
83,sp500,17,252,3,-0.012552509155273438,0.1580810546875,
83,sp500,17,252,4,-0.012648774780273436,0.1552734375,
83,sp500,17,252,5,-0.012713639029366631,0.150634765625,
83,sp500,17,252,-1,,,ValueError: all target probabilities must be positive
84,reit,16,602,0,-0.02073070463866265,nan,
84,reit,16,602,1,-0.02069570016632622,0.47243076524222904,
